Maze,Mode,Intuition,Heuristics,Time Steps 1,Path Length 1,Time Steps 2,Path Length 2,Time Steps 3,Path Length 3,Coverage,Score,Exploration Time,Computation Time,Maze Size,Number of Grid Visited Per Time Step during Exploration,Number of Grid Visited Per Path Length during Exploration
1,complete,False,False,5.36,10.53,3.69,5.99,0.0,0.0,0.0,0.23,128.94,128.91,0.0,0.02,0.03
1,complete,False,True,4.51,8.35,5.06,8.6,0.0,0.0,0.0,0.27,14.47,14.5,0.0,0.02,0.02
1,complete,True,False,4.96,6.17,4.33,7.23,0.0,0.0,0.0,0.12,20.15,20.14,0.0,0.02,0.02
1,complete,True,True,4.68,5.72,4.86,8.84,0.0,0.0,0.0,0.22,2.78,2.79,0.0,0.02,0.02
1,incomplete,False,False,52.05,65.01,1.49,1.69,1.49,0.84,0.26,0.92,131.54,131.55,0.0,0.08,0.11
1,incomplete,False,True,35.63,43.49,0.92,2.2,0.92,2.15,0.18,0.82,18.44,18.44,0.0,0.05,0.07
1,incomplete,True,False,30.77,38.65,1.43,1.4,1.43,1.48,0.17,1.17,21.37,21.37,0.0,0.04,0.08
1,incomplete,True,True,35.39,44.61,0.67,1.35,0.67,1.26,0.17,1.02,9.4,9.42,0.0,0.05,0.08
2,complete,False,False,9.7,16.62,5.64,10.11,0.0,0.0,0.0,0.45,157.31,157.34,0.0,0.03,0.03
2,complete,False,True,8.49,15.31,7.42,14.79,0.0,0.0,0.0,0.45,12.7,12.71,0.0,0.02,0.03
2,complete,True,False,7.84,11.73,5.72,11.12,0.0,0.0,0.0,0.37,44.9,44.89,0.0,0.02,0.02
2,complete,True,True,8.64,16.61,4.97,9.49,0.0,0.0,0.0,0.41,7.1,7.11,0.0,0.03,0.04
2,incomplete,False,False,56.12,72.07,1.34,0.63,1.34,0.63,0.19,1.45,170.44,170.46,0.0,0.06,0.08
2,incomplete,False,True,58.48,73.44,3.78,5.03,3.78,5.03,0.19,3.26,40.62,40.62,0.0,0.07,0.1
2,incomplete,True,False,53.22,64.51,1.89,1.26,1.89,1.35,0.19,1.73,27.07,27.1,0.0,0.07,0.08
2,incomplete,True,True,45.92,57.93,2.07,1.35,2.07,1.35,0.15,2.07,17.6,17.62,0.0,0.06,0.07
3,complete,False,False,7.84,16.0,6.16,13.19,0.0,0.0,0.0,0.33,358.4,358.43,0.0,0.02,0.03
3,complete,False,True,11.42,24.69,7.41,16.49,0.0,0.0,0.0,0.46,21.18,21.18,0.0,0.02,0.04
3,complete,True,False,12.41,24.9,4.64,10.01,0.0,0.0,0.0,0.45,28.91,28.92,0.0,0.03,0.04
3,complete,True,True,20.47,43.09,6.88,14.27,0.0,0.0,0.0,0.68,6.2,6.2,0.0,0.04,0.06
3,incomplete,False,False,96.08,118.35,2.69,5.61,2.69,5.35,0.27,2.88,694.04,694.1,0.0,0.08,0.1
3,incomplete,False,True,84.97,107.89,1.08,1.35,1.08,1.4,0.23,2.48,71.67,71.73,0.0,0.07,0.1
3,incomplete,True,False,93.91,114.82,1.37,2.53,1.37,2.67,0.29,2.21,110.28,110.35,0.0,0.07,0.1
3,incomplete,True,True,66.81,87.93,0.0,1.08,0.0,1.08,0.18,2.23,28.53,28.56,0.0,0.05,0.07
